Protected Attribute,Demographic Parity Difference,Demographic Parity Ratio,Equalized Odds Difference,Equalized Odds Ratio,Accuracy Difference,Accuracy Ratio,TPR Difference,FPR Difference,FNR Difference,Selection Rate Difference
race,0.14519592055823938,0.7217078189300412,0.027624309392265192,0.0,0.013586956521739135,0.9864130434782609,0.0,0.027624309392265192,0.0,0.14519592055823938
sex,0.12098188717067587,0.750677756671523,0.010756958048746051,0.4985602632661456,0.004411869988545258,0.9955575980392156,0.0,0.010756958048746051,0.0,0.12098188717067587
